,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
0,Back in Action,tt21191806,Back in Action,Yes,2025-01-17,313000000,1:54,164700000,Back in Action,2025.0,movie,Back in Action,Back in Action,2025,114,"Action,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",['United States of America'],114
1,STRAW,tt32550101,STRAW,Yes,2025-06-06,185200000,1:48,102900000,STRAW,2025.0,movie,Straw,Straw,2025,105,"Drama,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,['United States of America'],108
2,The Life List,tt2172954,The Life List,Yes,2025-03-28,198900000,2:05,95500000,The Life List,2025.0,movie,The Life List,The Life List,2025,123,"Comedy,Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.",['United States of America'],125
3,Exterritorial,tt30876483,Exterritorial,Yes,2025-04-30,159000000,1:49,87500000,Exterritorial,2025.0,movie,Exterritorial,Exterritorial,2025,109,"Action,Mystery,Thriller","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'AT', 'name': 'Austria'}]","['AT', 'DE']","When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.","['Germany', 'Austria']",109
4,Havoc,tt14123284,Havoc,Yes,2025-04-25,154900000,1:47,86900000,Havoc,2025.0,movie,Havoc,Havoc,2025,107,"Action,Crime,Drama","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['US', 'GB']","When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.","['United Kingdom', 'United States of America']",107
5,The Secret Life of Pets 2,tt5113040,The Secret Life of Pets 2,No,,106800000,1:26,74500000,The Secret Life of Pets 2,1000.0,movie,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",['United States of America'],86
6,The Electric State,tt7766378,The Electric State,Yes,2025-03-14,158200000,2:08,74200000,The Electric State,2025.0,movie,The Electric State,The Electric State,2025,125,"Action,Adventure,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",['United States of America'],128
0,Counterattack,tt23648788,Counterattack // Contraataque,Yes,2025-02-28,101000000,1:25,71300000,Counterattack,2025.0,movie,Counterstrike,Contraataque,2025.0,84.0,"Action,Thriller","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",['MX'],"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",['Mexico'],85
8,Ad Vitam,tt32138452,Ad Vitam,Yes,2025-01-10,114000000,1:38,69800000,Ad Vitam,2025.0,movie,Ad Vitam,Ad Vitam,2025,98,"Action,Crime,Drama","[{'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],"When he and his pregnant wife are attacked in their home, a former elite agent becomes trapped in a deadly manhunt tied to his own painful past.",['France'],98
9,Despicable Me 4,tt7510222,Despicable Me 4,No,,109400000,1:34,69800000,Despicable Me 4,1000.0,movie,Despicable Me 4,Despicable Me 4,2024,94,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",['United States of America'],94
10,The Secret Life of Pets,tt2709768,The Secret Life of Pets,No,,95600000,1:27,65900000,The Secret Life of Pets,1000.0,movie,The Secret Life of Pets,The Secret Life of Pets,2016,86,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",['United States of America'],87
11,Kinda Pregnant,tt30253036,Kinda Pregnant,Yes,2025-02-05,98100000,1:40,58900000,Kinda Pregnant,2025.0,movie,Kinda Pregnant,Kinda Pregnant,2025,97,"Comedy,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie — and accidentally falls for her dream guy.",['United States of America'],100
12,Nonnas,tt28309594,Nonnas,Yes,2025-05-09,109500000,1:54,57600000,Nonnas,2025.0,movie,Nonnas,Nonnas,2025,111,Comedy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual nonnas — grandmothers — as the chefs.",['United States of America'],114
13,iHostage,tt31181421,iHostage,Yes,2025-04-18,97600000,1:42,57400000,iHostage,2025.0,movie,iHostage,iHostage,2025,100,"Crime,Drama,Thriller","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",['NL'],"When a gunman enters an Apple Store in the heart of Amsterdam, the police face a delicate challenge to resolve the standoff.",['Netherlands'],102
14,La Dolce Villa,tt31519456,La Dolce Villa,Yes,2025-02-13,91500000,1:39,55500000,La Dolce Villa,2025.0,movie,La Dolce Villa,La Dolce Villa,2025,99,"Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When his daughter decides to buy a crumbling Tuscan villa, Eric rushes to Italy to talk her out of it — and instead finds beauty, romance and new purpose.",['United States of America'],99
15,The Boss Baby,tt3874544,The Boss Baby,No,,90100000,1:38,55200000,The Boss Baby,1000.0,movie,The Boss Baby,The Boss Baby,2017,97,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",['United States of America'],98
16,Minions,tt2293640,Minions,No,,82100000,1:31,54100000,Minions,1000.0,movie,Minions,Minions,2015,91,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",['United States of America'],91
17,Shrek,tt0126029,Shrek,No,,80200000,1:30,53500000,Shrek,1000.0,movie,Shrek,Shrek,2001,90,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",['United States of America'],90
18,Plankton: The Movie,tt32560777,Plankton: The Movie,Yes,2025-03-07,74200000,1:28,50600000,Plankton: The Movie,2025.0,movie,Plankton: The Movie,Plankton: The Movie,2025,87,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,['United States of America'],88
19,Despicable Me 3,tt3469046,Despicable Me 3,No,,73600000,1:30,49100000,Despicable Me 3,1000.0,movie,Despicable Me 3,Despicable Me 3,2017,89,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,['United States of America'],90
20,Carry-On,tt21382296,Carry-On,Yes,2024-12-13,95400000,2:00,47700000,Carry-On,2024.0,movie,Carry-On,Carry-On,2024,119,"Action,Crime,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,['United States of America'],120
21,Despicable Me 2,tt1690953,Despicable Me 2,No,,75000000,1:38,45900000,Despicable Me 2,1000.0,movie,Despicable Me 2,Despicable Me 2,2013,98,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,['United States of America'],98
22,Shrek 2,tt0298148,Shrek 2,No,,69000000,1:33,44500000,Shrek 2,1000.0,movie,Shrek 2,Shrek 2,2004,93,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage.",['United States of America'],93
23,Bad Influence,tt23558084,Bad Influence // Mala influencia,Yes,2025-05-09,78600000,1:47,44100000,Bad Influence,2025.0,movie,Bad Influence,Mala influencia,2025,106,"Romance,Thriller","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['ES'],An ex-con gets a fresh start when hired to protect a wealthy heiress from a stalker — but their chemistry is hard to resist as they grow closer.,"['Spain', 'United States of America']",107
24,K.O.,tt36240772,K.O.,Yes,2025-06-06,63100000,1:27,43500000,K.O.,2025.0,movie,K.O.,K.O.,2025,86,"Action,Adventure,Drama","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",['FR'],"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.","['France', 'Belgium']",87
25,A Widow's Game,tt33474172,A Widow's Game // La viuda negra,Yes,2025-05-30,83900000,2:02,41300000,A Widow's Game,2025.0,movie,A Widow's Game,La viuda negra,2025,122,"Crime,Drama,Mystery","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",['ES'],"When a man is found dead, the investigation shatters his widow's perfect facade and exposes a hidden double life in this thriller based on real events.",['Spain'],122
26,Sing,tt3470600,Sing (2016),No,,73900000,1:48,41100000,Sing,2016.0,movie,Sing,Sing,2016,108,"Animation,Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,['United States of America'],108
27,Venom: The Last Dance,tt16366836,Venom: The Last Dance,No,,71900000,1:49,39600000,Venom: The Last Dance,1000.0,movie,Venom: The Last Dance,Venom: The Last Dance,2024,110,"Action,Adventure,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",['United States of America'],109
28,The Super Mario Bros. Movie,tt6718170,The Super Mario Bros. Movie,No,,59700000,1:32,38900000,The Super Mario Bros. Movie,1000.0,movie,The Super Mario Bros. Movie,The Super Mario Bros. Movie,2023,92,"Adventure,Animation,Comedy","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","['Japan', 'United States of America']",92
29,The Croods,tt0481499,The Croods,No,,62400000,1:38,38200000,The Croods,1000.0,movie,The Croods,The Croods,2013,98,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",['United States of America'],98
30,KPop Demon Hunters,tt14205554,KPop Demon Hunters,Yes,2025-06-20,61100000,1:40,36700000,KPop Demon Hunters,2025.0,movie,KPop Demon Hunters,KPop Demon Hunters,2025,95,"Action,Adventure,Animation","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",['United States of America'],100
31,Despicable Me,tt1323594,Despicable Me,No,,57100000,1:35,36100000,Despicable Me,1000.0,movie,Despicable Me,Despicable Me,2010,95,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",['United States of America'],95
32,Honeymoon Crasher,tt35300972,Honeymoon Crasher // Lune de miel avec ma mre,Yes,2025-02-12,55200000,1:35,34900000,Honeymoon Crasher,2025.0,movie,Honeymoon Crasher,Lune de miel avec ma mère,2025,93,Comedy,"[{'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],"When his fiancée dumps him at the altar for her ex, a young man is left with no alternative but to go on his romantic honeymoon with his mother.",['France'],95
33,PAW Patrol: The Mighty Movie,tt15837338,PAW Patrol: The Mighty Movie,No,,50700000,1:28,34600000,PAW Patrol: The Mighty Movie,1000.0,movie,PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,2023,88,"Action,Adventure,Animation","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['CA', 'US']","A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.","['Canada', 'France', 'United States of America']",88
34,Kraven the Hunter,tt8790086,Kraven the Hunter,No,,73000000,2:07,34500000,Kraven the Hunter,1000.0,movie,Kraven the Hunter,Kraven the Hunter,2024,127,"Action,Adventure,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",['United States of America'],127
35,Demon City,tt35111035,Demon City // Demon City ____,Yes,2025-02-27,60500000,1:48,33600000,Demon City,2025.0,movie,Demon City,Oni Goroshi,2025,106,"Action,Adventure,Crime","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",['Japan'],108
36,The Emoji Movie,tt4877122,The Emoji Movie,No,,48700000,1:27,33600000,The Emoji Movie,1000.0,movie,The Emoji Movie,The Emoji Movie,2017,86,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",['United States of America'],87
38,Bullet Train Explosion,tt33452974,Bullet Train Explosion // ______,Yes,2025-04-23,76300000,2:17,33400000,Bullet Train Explosion,2025.0,movie,Bullet Train Explosion,Shinkansen daibakuha,2025,134,"Action,Crime,Drama","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.",['Japan'],137
37,Bee Movie,tt0389790,Bee Movie,No,,51200000,1:32,33400000,Bee Movie,1000.0,movie,Bee Movie,Bee Movie,2007,91,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Barry B. Benson, a recent college graduate who wants more out of his life than making honey, decides to sue the human race after learning about the exploitation of bees at the hands of mankind. What will happen next?",['United States of America'],92
39,A Deadly American Marriage,tt36592065,A Deadly American Marriage,Yes,2025-05-09,55500000,1:43,32300000,A Deadly American Marriage,2025.0,movie,A Deadly American Marriage,A Deadly American Marriage,2025,102,"Crime,Documentary","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",['GB'],"Murder or self-defense? Told from both sides, this documentary explores the killing of Jason Corbett during a dispute with his wife and her father.",['United Kingdom'],103
40,Last Bullet,tt29768333,Last Bullet // Balle perdue 3,Yes,2025-05-07,59000000,1:53,31300000,Last Bullet,2025.0,movie,Last Bullet,Balle perdue 3,2025,111,"Action,Crime,Drama","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,"['Belgium', 'France']",113
41,Mission: Impossible - Dead Reckoning,tt9603212,Mission: Impossible - Dead Reckoning,No,,85000000,2:44,31100000,Mission: Impossible - Dead Reckoning,1000.0,movie,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,2023,163,"Action,Adventure,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",['United States of America'],164
42,Rebel Ridge,tt11301886,Rebel Ridge,Yes,2024-09-06,68500000,2:12,31100000,Rebel Ridge,2024.0,movie,Rebel Ridge,Rebel Ridge,2024,131,"Action,Crime,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,['United States of America'],132
43,The Equalizer 2,tt3766354,The Equalizer 2,No,,59800000,2:01,29700000,The Equalizer 2,1000.0,movie,The Equalizer 2,The Equalizer 2,2018,121,"Action,Crime,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",['United States of America'],121
44,Squad 36,tt31032711,Squad 36 // Bastion 36,Yes,2025-02-28,61100000,2:05,29300000,Squad 36,2025.0,movie,Squad 36,Bastion 36,2025,124,"Crime,Drama,Thriller","[{'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],"Forced out of his elite unit, a troubled cop launches his own rogue investigation when mysterious killings claim the lives of his former colleagues.",['France'],125
46,The Six Triple Eight,tt24458622,The Six Triple Eight,Yes,2024-12-20,62300000,2:10,28800000,The Six Triple Eight,2024.0,movie,The Six Triple Eight,The Six Triple Eight,2024,127,"Drama,History,War","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"During World War II, the US Army's only all-Black, all-women battalion takes on an impossible mission: sorting through a three-year backlog of 17 million pieces of mail that hadn't been delivered to American soldiers and finish within six months.",['United States of America'],130
45,Lucca's World,tt28657879,Lucca's World // Los dos hemisferios de Lucca,Yes,2025-01-31,46600000,1:37,28800000,Lucca's World,2025.0,movie,Lucca's World,Los dos hemisferios de Lucca,2025,96,Drama,"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",['MX'],"Determined to help her son, who has cerebral palsy, Bárbara takes her family to India for an experimental treatment.",['Mexico'],97
47,Hotel Transylvania 2,tt2510894,Hotel Transylvania 2,No,,42700000,1:30,28500000,Hotel Transylvania 2,1000.0,movie,Hotel Transylvania 2,Hotel Transylvania 2,2015,89,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",['United States of America'],90
48,The Union,tt12610390,The Union,Yes,2024-08-16,51600000,1:49,28400000,The Union,2024.0,movie,The Union,The Union,2024,107,"Action,Comedy,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,['United States of America'],109
49,Puss in Boots: The Last Wish,tt3915174,Puss in Boots: The Last Wish,No,,47600000,1:42,28000000,Puss in Boots: The Last Wish,1000.0,movie,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,2022,102,"Action,Adventure,Animation","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",['United States of America'],102
